County,gdp,population,area_km,pred_co2,rank,County,Median Household Income (2017),Net Taxable Assessed Value (2018-19),Sales Tax: Total Permits (2018),"Taxable Sales, Total (2018)",Housing Units: Single Family (January 2019),Housing Units: Multi-Family (January 2019),Total Maintained Public Road Miles (2017),Daily Vehicle Miles Traveled - Total (2017),Registered Autos (2018),Registered Trucks (2018),Registered Trailers (2018),Registered Motorcycles (2018),Violent Crimes (2018),Property Crimes (2018),Farms (August 2018),Ag: Planted Acres (August 2018),County,Property Taxes,Local Sales and In-Lieu Tax,State,Federal,YEAR,COUNTY,Elec2- Residential,Elec2- Non-Residential,Elec2- Total,Gas2- Residential,Gas2- Non-Residential,Gas2- Total,Waste- DisposalTon,Veh- Diesel,Veh- Gasoline Hybrid,Veh- Flex Fuel,Veh- PHEV,Veh- Electric,Veh- Bio Diesel,Veh- Hydrogen ,Veh- Natural Gas,Veh- Gasoline,Veh- Propane,Veh- Overall,Water
"Alameda, CA",146210749,1669301,2135.8425,0.028206514,7,Alameda,"$95,550 ",2.92E+11,47402,35073302027,"365,797","232,321","3,909.11","41,889,632","1,078,950","179,272","53,443","32,840","9,948","58,856",271,"165,009",Alameda,"$720,609,543 ","$24,309,695 ","$925,186,730 ","$458,565,287 ",2019,Alameda,3064.781376,7619.304491,10684.08587,218.976191,165.174338,384.150529,1465263.51,13554,66895,32169,16079,26372,2370,436,299,995119,29,1153322,168.74
"Alpine, CA",133889,1162,1882.1303,5.21E-05,57,Alpine,"$55,755 ",753072000,82,35589021,"1,073",676,242,"174,729","1,821",744,433,71,12,29,10,"77,812",Alpine,"$5,185,681 ","$395,214 ","$7,823,895 ","$1,892,344 ",2019,Alpine,10.131788,8.774426,18.906214,,,,566.18,100,30,72,2,4,13,0,0,1338,0,1559,0.1
"Amador, CA",2067676,38294,1555.9289,0.000549984,45,Amador,"$60,588 ",5317153000,1592,469536065,"15,545","1,310",721.52,"1,164,821","29,750","15,763","10,862","2,169",118,596,238,"192,892",Amador,"$20,905,292 ","$2,952,716 ","$27,781,140 ","$8,713,888 ",2019,Amador,140.689119,177.195934,317.885054,2.165888,5.058842,7.22473,35768.39,3168,806,1706,105,70,465,0,2,32981,4,39307,8.64
"Butte, CA",11314675,226466,4310.5185,0.002648273,28,Butte,"$48,634 ",23284221000,7258,3505413738,"55,404","19,294","2,140.03","5,244,885","127,993","53,777","44,843","7,095","1,214","5,824",568,"199,971",Butte,"$61,375,946 ","$5,498,556 ","$178,926,866 ","$101,738,890 ",2019,Butte,669.328499,726.917845,1396.246344,22.698185,16.527181,39.225366,1818063.23,8032,4142,7685,458,338,2132,0,4,132134,10,154935,28.81
"Calaveras, CA",1879126,45117,2682.1004,0.000497608,46,Calaveras,"$58,536 ",7297573000,2006,389702383,"24,871","1,068","1,317.51","1,144,175","38,228","20,700","15,739","3,031",197,860,222,"240,243",Calaveras,"$18,652,137 ","$3,247,321 ","$34,416,425 ","$18,879,817 ",2019,Calaveras,205.365353,125.193717,330.55907,0.430143,0.532807,0.96295,35660.9,4386,1035,2279,136,88,601,0,2,42408,7,50942,6.59
"Colusa, CA",1678303,22117,2992.7684,0.000492634,47,Colusa,"$53,595 ",4076114000,680,434037553,"6,153","1,244",920.33,"1,800,086","12,915","8,097","8,370",492,57,365,539,"203,297",Colusa,"$16,927,845 ","$1,699,451 ","$26,588,623 ","$5,129,454 ",2019,Colusa,67.633093,217.852047,285.48514,2.211679,29.254071,31.46575,23744.31,1117,251,1497,24,4,474,0,0,15458,6,18831,2.46
"Contra Costa, CA",80217242,1155879,2065.9422,0.015816714,11,Contra Costa,"$95,062 ",2.07E+11,25317,17607890223,"309,597","99,182","3,748.41","24,074,880","841,902","156,856","57,906","27,527","3,880","27,551",219,"84,235",Contra Costa,"$402,613,083 ","$14,267,394 ","$620,608,435 ","$214,221,998 ",2019,Contra Costa,2934.141948,6705.267486,9639.409434,176.04309,1029.002131,1205.045221,794518.98,15149,43184,30054,9631,13172,3130,215,196,765990,28,880749,139.97
"Del Norte, CA",983181,27401,2596.6667,0.000270592,54,Del Norte,"$39,996 ",1857462000,597,241093632,"7,177","1,622",759.02,"829,059","14,447","7,093","5,211",845,137,595,1, -   ,Del Norte,"$7,220,603 ","$1,218,815 ","$39,305,072 ","$16,307,507 ",2019,Del Norte,117.160978,93.092692,210.25367,,,,88.71,1441,337,1027,41,35,145,0,1,16048,1,19076,2.4
"El Dorado, CA",9302830,191848,4672.9645,0.002216696,32,El Dorado,"$78,464 ",33480321000,6836,2369663624,"76,620","11,242","1,617.90","4,869,919","137,800","48,803","37,855","8,526",475,"2,864",63,"180,896",El Dorado,"$95,473,663 ","$12,110,773 ","$95,159,144 ","$59,937,628 ",2019,El Dorado,767.40108,460.489546,1227.890625,25.089235,9.825166,34.914401,121490.25,9536,4922,6514,1192,1189,1571,10,2,141387,13,166336,27.8
"Fresno, CA",50736641,1018241,15528.2222,0.010892971,14,Fresno,"$51,452 ",81738201000,21036,15386255626,"234,467","84,878","7,048.25","24,466,165","532,328","182,998","96,015","17,716","5,889","27,313",960,"895,641",Fresno,"$232,872,000 ","$27,287,000 ","$681,865,000 ","$408,848,000 ",2019,Fresno,2796.305742,4590.95883,7387.264573,106.85046,245.34178,352.19224,964982.11,13748,13810,37073,2144,2871,3508,0,26,589097,21,662298,157.08
"Glenn, CA",1367264,29132,3414.7591,0.000383847,52,Glenn,"$49,979 ",3310027000,1026,454681738,"8,194","1,591","1,211.19","1,387,925","16,885","10,418","9,500",846,80,603,599,"397,233",Glenn,"$10,853,584 ","$1,174,976 ","$35,367,987 ","$14,474,905 ",2019,Glenn,96.828073,297.269914,394.097988,2.509179,6.174768,8.683947,81573.78,1778,334,1543,35,18,513,0,0,20240,2,24463,2.55
