country,co2,gdp,population,area
Albania,6.228,34009113045,2882735,27400
Argentina,187.564,829373000000,44361150,2736690
Armenia,6.366,33296515550,2951741,28470
Australia,378.922,1238560000000,24898153,7692020
Austria,93.145,382269000000,8891383,82520
Azerbaijan,39.443,160426000000,9949537,82654
Bahrain,17.641,62559305437,1569440,780
Bangladesh,108.036,686522000000,161376713,130170
Belarus,64.767,178435000000,9452615,202980
Belgium,177.237,454384000000,11482180,30280
Benin,9.17,26682033535,11485035,112760
Bolivia,21.985,75704710887,11353140,1083300
Botswana,17.968,35844341352,2254067,566730
Brazil,488.871,2965400000000,209469320,8358140
Bulgaria,39.146,132183000000,7051610,108560
Burkina Faso,5.385,31315025032,19751466,273600
Cambodia,19.736,59541851604,16249795,176520
Cameroon,10.903,76168245066,25216261,472710
Canada,588.406,1669400000000,37074558,8965590
Chile,93.436,412834000000,18729166,743532
China,8959.962,18151600000000,1427647789,9424702.9
Colombia,102.839,651901000000,49661056,1109500
Costa Rica,12.997,73336988552,4999443,51060
Côte d'Ivoire,17.073,102582000000,25069226,318000
Croatia,21.221,84978688360,4156407,56590
Cyprus,7.782,27790155429,1189262,9240
Denmark,51.417,268318000000,5752131,40000
Dominican Republic,26.516,165255000000,10627147,48310
Ecuador,49.246,175525000000,17084359,248360
Egypt,247.683,1221830000000,98423602,995450
El Salvador,8.117,54756344105,6420740,20720
Estonia,18.27,35409424255,1322913,43470
Ethiopia,21.556,195740000000,109224410,1129300.39
Finland,67.571,214536000000,5522585,303920
France,441.891,2581670000000,64990512,547557
Georgia,11.28,58984799876,4002946,69490
Germany,861.593,3885960000000,83124413,349380
Ghana,19.045,118874000000,29767108,227540
Greece,60.063,250036000000,10522244,128900
Guatemala,24.136,127550000000,17247855,107160
Guinea,3.032,19045321801,12414292,245720
Honduras,12.625,45382744884,9587523,111890
Hong Kong,108.248,373683000000,7371728,1050
Hungary,67.027,250426000000,9707502,91260
India,2354.795,8835760000000,1352642283,2973190
Indonesia,591.462,3075460000000,267670549,1877519
Iran,691.178,1399000000000,81800204,1628760
Ireland,41.38,314322000000,4818694,68890
Israel,80.319,278806000000,8381507,21640
Italy,465.87,2077210000000,60627291,297730
Jamaica,8.613,19431862177,2934853,10830
Japan,1312.425,4867010000000,127202190,364500
Jordan,34.304,104894000000,9965322,88780
Kazakhstan,237.034,463721000000,18319616,2699700
Kenya,27.287,173506000000,51392570,569140
Kuwait,96.041,277117000000,4137314,17820
Kyrgyzstan,16.641,29601148154,6304025,191800
Lao,28.957,46666961449,7061498,230800
Latvia,13.262,46862480823,1928461,62090
Lithuania,22.738,76617521916,2801270,62630
Luxembourg,23.07,35015057362,604244,2430
Madagascar,5.433,36665931909,26262313,581800
Malawi,3.301,22574655861,18143215,94280
Malaysia,245.53,773659000000,31528033,328550
MMaltaLT,5.326,15606395163,439255,320
Mauritius,6.008,27474711833,1267184,2030
Mexico,473.374,2006600000000,126190782,1943950
Mongolia,54.729,41531756485,3170214,1557255
Morocco,67.326,299980000000,36029089,446300
Mozambique,17.64,29449971154,29496009,786380
Namibia,9.078,23095485754,2448300,823290
Nepal,19.262,81052454062,28095712,143350
Netherlands,152.759,818056000000,17059560,33670
New Zealand,38.687,171014000000,4743131,263310
Nicaragua,6.384,30136878640,6465502,120340
Nigeria,129.862,1060810000000,195874685,910770
Norway,48.354,449339000000,5337960,365107.85
Oman,65.749,172358000000,4829476,309500
Pakistan,255.359,1212090000000,212228288,770880
Panama,25.066,86035741483,4176868,74177
Paraguay,11.565,66292864959,6956069,397300
Peru,62.631,386316000000,31989265,1280000
Philippines,157.293,912443000000,106651394,298170
Poland,299.489,1053480000000,37921585,306170
Portugal,56.655,276344000000,10256192,91605.6
Qatar,70.509,400649000000,2781682,11490
Romania,78.583,386236000000,19506110,230080
Russia,1414.577,3613410000000,145734034,16376870
Rwanda,1.08,22988917805,12301969,24670
Saudi Arabia,602.158,1677340000000,33702757,2149690
Senegal,10.698,42805547586,15854324,192530
Singapore,110.374,410140000000,5757503,709
Slovakia,48.062,146456000000,5453017,48080
Slovenia,18.59,60439877634,2077835,20136.4
South Africa,335.303,673272000000,57792520,1213090
South Korea,688.001,1958390000000,51171700,97520
Spain,287.565,1492300000000,46692863,499603.479
Sri Lanka,32.965,253457000000,21228760,61864
Sweden,70.781,463407000000,9971630,407310
Switzerland,119.824,531971000000,8525614,39516.03
Tanzania,20.809,162053000000,56313444,885800
Thailand,287.036,1124030000000,69428454,510890
Togo,7.837,11866978379,7889095,54390
Trinidad and Tobago,25.624,34697351282,1389841,5130
Tunisia,28.064,130322000000,11565203,155360
Turkey,433.566,1655980000000,82340090,769630
Uganda,7.82,86584070536,42729032,200520
Ukraine,220.164,431320000000,44246158,579400
United Arab Emirates,223.63,734906000000,9630966,71020
United Kingdom,540.167,2540210000000,67141678,241930
USA,5767.385,18140600000000,327096263,9147420
Uruguay,11.526,68560712984,3449290,175020
Venezuela,151.533,309413000000,28887117,882050
Viet Nam,207.132,661488000000,95545959,310070
Zambia,9.987,60978621663,17351714,743390
Zimbabwe,12.815,22715353541,14438812,386850
